IP;ORG;COUNTRY;ASN;SUBNET
45.81.254.65;DIGITAL NETWORK S.R.L.;LT;AS212853;45.81.254.0/24
45.84.222.30;PLAY2GO INTERNATIONAL LIMITED;NL;AS215439;45.84.222.0/24
46.182.24.154;SELECTEL-NET;RU;AS49505;46.182.24.0/24
5.175.220.130;ROETH und BECK GbR;DE;AS44486;5.175.220.0/24
5.178.85.132;SELECTEL-NET;RU;AS50340;5.178.85.0/24
5.188.115.29;SELECTEL-NET;RU;AS49505;5.188.115.0/24
5.188.115.98;SELECTEL-NET;RU;AS49505;5.188.115.0/24
5.188.224.185;EdgeCenter LLC;RU;AS210756;5.188.224.0/24
5.42.110.55;JSC "TIMEWEB";RU;AS9123;5.42.110.0/24
5.42.114.80;JSC "TIMEWEB";RU;AS9123;5.42.114.0/24
51.250.101.209;Yandex.Cloud LLC;RU;AS200350;51.250.101.0/24
51.250.105.209;Yandex.Cloud LLC;RU;AS200350;51.250.105.0/24
51.250.106.108;Yandex.Cloud LLC;RU;AS200350;51.250.106.0/24
51.250.107.80;Yandex.Cloud LLC;RU;AS200350;51.250.107.0/24
51.250.107.88;Yandex.Cloud LLC;RU;AS200350;51.250.107.0/24
51.250.110.166;Yandex.Cloud LLC;RU;AS200350;51.250.110.0/24
51.250.14.212;Yandex.Cloud LLC;RU;AS200350;51.250.14.0/24
51.250.16.226;Yandex.Cloud LLC;RU;AS200350;51.250.16.0/24
51.250.17.244;Yandex.Cloud LLC;RU;AS200350;51.250.17.0/24
51.250.19.162;Yandex.Cloud LLC;RU;AS200350;51.250.19.0/24
51.250.19.183;Yandex.Cloud LLC;RU;AS200350;51.250.19.0/24
51.250.22.142;Yandex.Cloud LLC;RU;AS200350;51.250.22.0/24
51.250.22.166;Yandex.Cloud LLC;RU;AS200350;51.250.22.0/24
51.250.22.210;Yandex.Cloud LLC;RU;AS200350;51.250.22.0/24
51.250.22.82;Yandex.Cloud LLC;RU;AS200350;51.250.22.0/24
51.250.28.206;Yandex.Cloud LLC;RU;AS200350;51.250.28.0/24
51.250.3.195;Yandex.Cloud LLC;RU;AS200350;51.250.3.0/24
51.250.31.112;Yandex.Cloud LLC;RU;AS200350;51.250.31.0/24
51.250.31.89;Yandex.Cloud LLC;RU;AS200350;51.250.31.0/24
51.250.36.127;Yandex.Cloud LLC;RU;AS200350;51.250.36.0/24
51.250.38.25;Yandex.Cloud LLC;RU;AS200350;51.250.38.0/24
51.250.39.213;Yandex.Cloud LLC;RU;AS200350;51.250.39.0/24
51.250.43.215;Yandex.Cloud LLC;RU;AS200350;51.250.43.0/24
51.250.44.38;Yandex.Cloud LLC;RU;AS200350;51.250.44.0/24
51.250.45.194;Yandex.Cloud LLC;RU;AS200350;51.250.45.0/24
51.250.5.141;Yandex.Cloud LLC;RU;AS200350;51.250.5.0/24
51.250.68.94;Yandex.Cloud LLC;RU;AS200350;51.250.68.0/24
51.250.70.158;Yandex.Cloud LLC;RU;AS200350;51.250.70.0/24
51.250.73.252;Yandex.Cloud LLC;RU;AS200350;51.250.73.0/24
51.250.78.186;Yandex.Cloud LLC;RU;AS200350;51.250.78.0/24
51.250.99.128;Yandex.Cloud LLC;RU;AS200350;51.250.99.0/24
62.152.59.113;FILANCO-NET-62-59;RU;AS12616;62.152.59.0/24
72.56.246.76;Legacy/Unassigned;NL;-;72.56.246.0/24
72.56.36.126;Legacy/Unassigned;NL;-;72.56.36.0/24
72.56.37.41;Legacy/Unassigned;NL;-;72.56.37.0/24
72.56.38.50;Legacy/Unassigned;NL;-;72.56.38.0/24
79.174.93.60;"Domain names registrar REG.RU", Ltd;RU;AS197695;79.174.93.0/24
79.174.95.226;"Domain names registrar REG.RU", Ltd;RU;AS197695;79.174.95.0/24
81.163.23.24;SELECTEL-NET;RU;AS50340;81.163.23.0/24
81.200.146.124;JSC "TIMEWEB";RU;AS9123;81.200.146.0/24
84.201.143.74;Yandex.Cloud LLC;RU;AS200350;84.201.143.0/24
84.201.152.230;Yandex.Cloud LLC;RU;AS200350;84.201.152.0/24
84.201.167.189;Yandex.Cloud LLC;RU;AS200350;84.201.167.0/24
84.201.189.24;RU-YANDEXCLOUD-20110210-2;RU;AS200350;84.201.189.0/24
84.32.49.94;Private Customer;LT;AS214159;84.32.49.0/24
84.32.70.215;Cherry Servers, UAB;LT;AS204770;84.32.70.0/24
84.32.97.40;Private Customer;LT;AS16125;84.32.97.0/24
85.159.92.203;ONLYSERVERS-HOSTED;GB;AS204044;85.159.92.0/24
85.192.48.103;H2NEXUS LTD;FI;AS215730;85.192.48.0/24
85.192.49.108;H2NEXUS LTD;FI;AS215730;85.192.49.0/24
85.206.174.22;Informacines sistemos ir technologijos, UAB;LT;AS61272;85.206.174.0/24
85.208.108.63;WorkTitans B.V.;CA;AS53363;85.208.108.0/24
88.216.36.91;Private Customer;EU;AS213896;88.216.36.0/24
89.208.210.40;VKCS;RU;AS47764;89.208.210.0/24
89.208.211.125;VKCS;RU;AS47764;89.208.211.0/24
90.156.255.198;LV-BEGET;LV;AS9002;90.156.255.0/24
91.219.227.22;VK Tech Kazakhstan LLP;RU;AS47764;91.219.227.0/24
91.92.250.105;Albanian Hosting SH.P.K.;AL;AS31130;91.92.250.0/24
93.77.161.75;Yandex.Cloud LLC;RU;AS200350;93.77.161.0/24
94.103.2.194;GLOBAL INTERNET SOLUTIONS LLC;RU;AS207713;94.103.2.0/24
95.163.181.41;VKCS;RU;AS47764;95.163.181.0/24
95.163.183.153;VKCS;RU;AS47764;95.163.183.0/24
95.163.208.58;VKCS;RU;AS47764;95.163.208.0/24
95.85.224.240;1Cent Host;EE;AS215540;95.85.224.0/24
95.85.249.1;1Cent Host;EE;AS209693;95.85.249.0/24
95.85.249.53;1Cent Host;EE;AS209693;95.85.249.0/24
95.85.251.182;VPSPay Networks LTD;FI;AS201988;95.85.251.0/24
